ma tanbeta expm2 expm1 exp expp1 expp2 obs
250 20.0 2.329217679694622 3.0482950664876785 4.169907526506125 5.6492053876871 7.24211006281244 4.282402365110091
300 20.0 2.9468005928547125 3.8745416734491926 5.275415885001801 7.188881863727917 9.29834426083841 6.232426752084685
350 20.0 3.8171223899309803 5.019043213655231 6.833530373351991 9.312291563431756 12.044684656021397 8.558566996002858
400 20.0 4.939544674614189 6.519536878519569 8.905137012106703 12.170642327821145 15.839609938461422 10.37716308207855
450 20.0 6.041485368229138 7.974066412621116 10.891694560084156 14.886006439570117 19.444508806472488 12.716215302718247
500 20.0 7.617048138191048 10.05340686174735 13.731981783571332 18.822533061370333 24.645644488744875 16.940336091568824
10 25.0 0.44937067979913464 0.5894602060095316 0.7877539345558165 1.0201427718233689 1.2727889540215491 0.7033007782253125
50 25.0 0.5234310039748785 0.6920464100236811 0.9305755210195483 1.212641158219774 1.52221847647422 0.8707305240871726
100 25.0 0.7474021404038905 0.9854174967654926 1.3333948170518728 1.742572047851658 2.19415106422655 1.2501459780394122
150 25.0 0.9420203267558193 1.2385250853412573 1.6863708144546796 2.2308052149254793 2.830553476609661 1.7377537413686333
200 25.0 1.2960657306714674 1.7041430303050544 2.3202188718356385 3.115670877420346 3.9621151775115315 2.295625857863849
250 25.0 1.7672875799744696 2.3128855916152196 3.1639059953393986 4.286319224441581 5.4949313146612315 3.249261148191444
300 25.0 2.213109053874549 2.909862064612195 3.9619479805862534 5.399001065232649 6.983251571077213 4.6806832149054785
350 25.0 2.8459728613433626 3.7421018549606013 5.094948498645598 6.943065052447202 8.980284662838786 6.3811025464796645
400 25.0 3.695395812425834 4.877427144986552 6.6621537391374535 9.105159211112051 11.850004826936972 7.763412930639856
450 25.0 4.5382415504512625 5.98995732243615 8.181620544400396 11.182066797613393 14.606321527766063 9.552163604460684
500 25.0 5.72521520210701 7.5564597667768085 10.321393463194001 14.147613415334352 18.524448832772748 12.732894417979228
10 30.0 0.36659369694530175 0.48087782723110695 0.6426445696926846 0.8322258815415405 1.038333004490788 0.5737482304572501
50 30.0 0.42825354390835524 0.5662089662077414 0.7613654172654097 0.9921419815660649 1.245427672802028 0.7124022648597402
100 30.0 0.611357001247906 0.8060478465772315 1.0906849375515781 1.425382085549439 1.7947628758268706 1.022589386542687
150 30.0 0.7753591843408609 1.019406665313722 1.3880200480331477 1.8361337465240357 2.3297752421282323 1.4303123671790128
200 30.0 1.0687893551806125 1.405306758285829 1.9133483535764417 2.5693109456014214 3.2673238906872157 1.893067938067547
250 30.0 1.4510334669963818 1.8989973317279194 2.5977285970256676 3.5192872486460627 4.511619572709868 2.6678095418432046
300 30.0 1.8140182829216507 2.385125566562288 3.2474884417401046 4.42539721424892 5.7239592427664805 3.836613886486018
350 30.0 2.3316990156160147 3.06589543774774 4.174279579496292 5.688437218796057 7.357526557160831 5.228022630949597
400 30.0 3.0323485910513885 4.002293687004767 5.466795312240087 7.471463980198016 9.723815056586895 6.370460826636651
450 30.0 3.716030414416707 4.9047331094611915 6.699324054089914 9.156167615590837 11.960036599314789 7.821560417851854
500 30.0 4.695115733508582 6.196876778983174 8.46433454989436 11.602128477805971 15.191469333295533 10.44195035550045
10 35.0 0.315 0.4132 0.5522 0.7150999999999998 0.8922 0.49300000000000005
50 35.0 0.3691 0.48799999999999993 0.6562 0.8550999999999999 1.0734 0.614
100 35.0 0.5288 0.6972 0.9434 1.2329 1.5523999999999998 0.8845
150 35.0 0.671 0.8822 1.2012 1.589 2.0162 1.2378
200 35.0 0.9328 1.2265 1.6699 2.2424 2.8516 1.6522
250 35.0 1.2568 1.6448 2.25 3.0482000000000005 3.9077 2.3107
300 35.0 1.5907 2.0915 2.8477 3.8806000000000003 5.0193 3.3643
350 35.0 2.0227 2.6596000000000006 3.6211 4.9346 6.3825 4.5352
400 35.0 2.6261 3.4661 4.7344 6.4705 8.4211 5.517
450 35.0 3.2370999999999994 4.2726 5.835899999999999 7.9761 10.4186 6.8135
500 35.0 4.0562 5.3536 7.312499999999999 10.0233 13.1242 9.021
10 40.0 0.2815213475695458 0.3692845105261471 0.4935113908822324 0.6390981449110545 0.7973757025445992 0.440603251910432
50 40.0 0.33323468775580717 0.44058121816535867 0.5924372855739927 0.7720102451909799 0.9690981138907705 0.5543378441670702
100 40.0 0.47561450146129275 0.6270772133487391 0.8485149785903622 1.1088977285393868 1.3962631468769113 0.7955390063209407
150 40.0 0.6083769977582079 0.7998661511509552 1.0890945599212507 1.4407020110846382 1.8280323440836044 1.122278759798971
